nohup: ignoring input
INFO:albumentations.check_version:A new version of Albumentations is available: 1.4.20 (you have 1.4.12). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.

  0%|          | 0/67 [00:00<?, ?it/s]
[Epoch 1]:   0%|          | 0/67 [00:27<?, ?it/s]
[Epoch 1]:   1%|▏         | 1/67 [00:29<32:45, 29.78s/it]
[Epoch 1]:  48%|████▊     | 32/67 [01:53<03:33,  6.10s/it, Cls loss=0.853, Angle loss=0.644, IoU loss=1.35]
[Epoch 1]:  48%|████▊     | 32/67 [01:53<03:33,  6.10s/it, Cls loss=0.853, Angle loss=0.644, IoU loss=1.35]
[Epoch 1]:  49%|████▉     | 33/67 [01:54<02:36,  4.60s/it, Cls loss=0.853, Angle loss=0.644, IoU loss=1.35]
[Epoch 1]:  49%|████▉     | 33/67 [01:54<02:36,  4.60s/it, Cls loss=0.869, Angle loss=0.903, IoU loss=1.3] 
[Epoch 1]:  49%|████▉     | 33/67 [01:54<02:36,  4.60s/it, Cls loss=0.869, Angle loss=0.903, IoU loss=1.3]
[Epoch 1]:  51%|█████     | 34/67 [01:56<01:57,  3.55s/it, Cls loss=0.869, Angle loss=0.903, IoU loss=1.3]
[Epoch 1]:  51%|█████     | 34/67 [01:56<01:57,  3.55s/it, Cls loss=0.815, Angle loss=1.1, IoU loss=1.22] 
[Epoch 1]:  51%|█████     | 34/67 [01:56<01:57,  3.55s/it, Cls loss=0.815, Angle loss=1.1, IoU loss=1.22]
[Epoch 1]:  52%|█████▏    | 35/67 [01:57<01:30,  2.83s/it, Cls loss=0.815, Angle loss=1.1, IoU loss=1.22]
[Epoch 1]:  52%|█████▏    | 35/67 [01:57<01:30,  2.83s/it, Cls loss=0.817, Angle loss=0.753, IoU loss=1.38]
[Epoch 1]:  52%|█████▏    | 35/67 [01:57<01:30,  2.83s/it, Cls loss=0.817, Angle loss=0.753, IoU loss=1.38]
[Epoch 1]:  54%|█████▎    | 36/67 [01:58<01:11,  2.30s/it, Cls loss=0.817, Angle loss=0.753, IoU loss=1.38]
[Epoch 1]:  54%|█████▎    | 36/67 [01:58<01:11,  2.30s/it, Cls loss=0.753, Angle loss=1.06, IoU loss=1.29] 
[Epoch 1]:  54%|█████▎    | 36/67 [01:58<01:11,  2.30s/it, Cls loss=0.753, Angle loss=1.06, IoU loss=1.29]
[Epoch 1]:  55%|█████▌    | 37/67 [01:59<00:58,  1.96s/it, Cls loss=0.753, Angle loss=1.06, IoU loss=1.29]
[Epoch 1]:  55%|█████▌    | 37/67 [01:59<00:58,  1.96s/it, Cls loss=0.81, Angle loss=0.195, IoU loss=1.31]
[Epoch 1]:  55%|█████▌    | 37/67 [02:01<00:58,  1.96s/it, Cls loss=0.81, Angle loss=0.195, IoU loss=1.31]
[Epoch 1]:  57%|█████▋    | 38/67 [02:02<01:07,  2.34s/it, Cls loss=0.81, Angle loss=0.195, IoU loss=1.31]
[Epoch 1]:  57%|█████▋    | 38/67 [02:02<01:07,  2.34s/it, Cls loss=0.775, Angle loss=0.543, IoU loss=1.31]
[Epoch 1]:  57%|█████▋    | 38/67 [02:02<01:07,  2.34s/it, Cls loss=0.775, Angle loss=0.543, IoU loss=1.31]
[Epoch 1]:  58%|█████▊    | 39/67 [02:03<00:55,  1.98s/it, Cls loss=0.775, Angle loss=0.543, IoU loss=1.31]
[Epoch 1]:  58%|█████▊    | 39/67 [02:03<00:55,  1.98s/it, Cls loss=0.713, Angle loss=0.433, IoU loss=1.19]
[Epoch 1]:  58%|█████▊    | 39/67 [02:10<00:55,  1.98s/it, Cls loss=0.713, Angle loss=0.433, IoU loss=1.19]
[Epoch 1]:  60%|█████▉    | 40/67 [02:11<01:38,  3.66s/it, Cls loss=0.713, Angle loss=0.433, IoU loss=1.19]
[Epoch 1]:  60%|█████▉    | 40/67 [02:11<01:38,  3.66s/it, Cls loss=0.699, Angle loss=0.752, IoU loss=1.32]
[Epoch 1]:  60%|█████▉    | 40/67 [02:11<01:38,  3.66s/it, Cls loss=0.699, Angle loss=0.752, IoU loss=1.32]
